experiment_id,LB_private,LB_public,CV_70k_tta9,CV_70k,CV_14k_f0,CV_14k_f1,CV_14k_f2,CV_14k_f3,CV_14k_f4,n_epochs_f0,n_epochs_f1,n_epochs_f2,n_epochs_f3,n_epochs_f4,ensemble_id,task,architecture,image_resolution,image_n_channels,image_inverted,n_frames,step,historical_depth,backbone,backbone_weights,batch_size,learning_rate,max_n_epochs,aug_number,tta_number,experiment_description
run-20210128-0045,,,7.0963,7.3511,7.3473,7.8398,6.7875,7.5094,7.2183,8,10,14,15,15,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,InceptionResNetV2,imagenet,64,0.0001,15,9,9,Researching different backbone
run-20210128-0047,,,7.1138,7.3076,7.3672,7.8038,6.9434,7.262,7.1343,12,6,5,15,11,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,InceptionV3,imagenet,64,0.0001,15,9,9,Researching different backbone
run-20210128-1341,,,7.0338,7.0699,6.9255,7.66,6.9315,7.0677,6.7051,15,15,13,12,10,ens_51_only,regr,cnn-lstm,366,3,yes,60,1,60,ResNet50,imagenet,32,0.0001,15,9,9,Researching different backbone
run-20210128-1354,,,7.6038,7.9417,7.7063,8.6386,7.7822,7.8254,7.6848,9,5,8,5,2,ens_51_only,regr,cnn-conv3d,112,3,yes,24,1,24,C3D,sport1m,64,0.0001,15,9,9,Researching CNN-Conv3D
run-20210128-1545,,,7.7996,8.1033,7.8452,8.2703,7.9997,7.9967,8.3797,2,2,11,5,5,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,ResNet50,imagenet,32,0.0001,15,9,9,Researching MLP instead of LSTM
run-20210128-1940,,,6.9898,7.0912,6.9384,7.6081,6.8008,7.2269,6.8323,9,11,14,13,14,ens_51_only,regr,cnn-lstm,366,3,yes,48,1,48,ResNet50,imagenet,32,0.0001,15,9,9,Researching different historical depth
run-20210129-1511,,,7.0459,7.1756,7.2491,7.5227,6.6279,7.3867,7.05,6,15,14,10,15,ens_51_only,regr,cnn-lstm,366,3,yes,24,1,24,ResNet152,imagenet,32,0.0001,15,9,9,Researching different backbone
run-20210131-1822,,,6.9129999999999985,7.1619,7.105,7.5382,6.7927,7.3042,7.0246,13,12,15,11,14,ens_22_only,regr,cnn-convlstm2d,366,3,yes,24,1,24,ResNet50,imagenet,64,0.0001,15,9,9,Researching ConvLSTM2D instead of LSTM
run-20210131-1840,,,6.9416,7.2374,7.2635,7.5176,6.7289,7.3868,7.2481,11,12,15,14,12,ens_22_only,regr,cnn-convlstm2d,366,3,yes,24,1,24,ResNet50,imagenet,64,0.0001,15,9,9,Researching ConvLSTM2D instead of LSTM
run-20210131-1951,,,6.9623,7.1571,7.1118,7.5207,6.863,7.2599,6.9824,13,10,14,10,15,ens_22_only,regr,cnn-lstm,366,3,yes,24,1,24,ResNet50,imagenet,64,0.0001,15,9,9,Researching Conv3D before LSTM
